left,right,confidence_score
9579,18212,0.8320000000000001
9579,47548,0.816
9579,48967,0.816
9579,57508,0.856
9579,64293,1.0
9579,70755,0.84
9594,87405,0.9280000000000002
9605,81293,0.96
9839,68889,1.0
9894,15150,0.82
9973,3815,0.84
9973,26115,0.812
9973,45243,0.8080000000000002
9973,79592,0.8240000000000001
10035,58969,0.8080000000000002
10049,68889,1.0
10099,28841,0.82
10163,18403,0.84
10163,68889,0.8320000000000001
10171,49403,0.812
10171,75151,0.904
10287,217,0.82
10287,2305,0.8079999999999999
10287,7837,0.8360000000000001
10287,42625,0.8160000000000001
10287,53625,0.836
10287,57366,0.8160000000000001
10287,75778,0.812
10375,22708,0.8640000000000001
10375,47157,1.0
10464,12421,0.8680000000000001
10464,48967,0.816
10464,57508,0.8440000000000001
10464,70755,0.8280000000000001
10599,49663,1.0
10921,49403,0.812
10921,75151,1.0
10960,83524,1.0
11086,54572,0.8160000000000001
11086,58841,0.836
11541,75349,0.9440000000000001
11741,5957,1.0
11741,58841,0.836
11741,69602,0.828
11741,79086,0.812
11741,83573,0.8080000000000002
11819,68489,0.8160000000000001
11819,73437,0.804
11881,217,0.8280000000000001
11881,2305,0.8360000000000001
11881,7837,0.8240000000000001
11881,33676,0.812
12079,17770,0.8240000000000001
12188,2305,0.8360000000000001
12188,7837,0.8360000000000001
12188,14209,0.812
12188,33676,0.848
12188,42625,0.8280000000000001
12188,45469,0.9280000000000002
12188,56016,0.8320000000000001
12188,78018,0.82
12188,83680,1.0
12301,3985,0.8250000000000002
12301,92317,0.917
12301,94195,0.9
12315,12582,1.0
12333,27714,0.816
12370,73355,0.976
12441,68489,0.8160000000000001
12441,73437,0.804
12630,42419,0.852
12882,68489,0.8160000000000001
12882,73437,0.804
12921,74153,0.8080000000000002
12988,64424,0.816
13069,26787,1.0
13162,88464,0.9520000000000001
13225,33550,0.8160000000000001
13462,12421,0.856
13462,48967,1.0
13462,57508,0.8680000000000001
13462,70755,0.804
13636,68489,0.8160000000000001
13636,73437,0.804
13842,63034,0.8440000000000001
13842,91010,0.8680000000000001
13843,63034,0.8440000000000001
13843,91010,0.8680000000000001
13863,14611,0.8320000000000001
13863,91336,0.812
14307,75658,0.856
14549,38443,0.956
14698,54572,0.8160000000000001
14698,58841,0.836
14839,68489,0.8160000000000001
14839,73437,0.804
15071,217,0.804
15071,2305,0.82
15071,7837,0.8360000000000001
15071,42625,0.8280000000000001
15071,55502,1.0
15071,56016,0.8080000000000002
15071,87255,0.804
15165,36798,1.0
15165,67600,0.804
15183,68489,0.8160000000000001
15183,73437,0.804
15234,26902,0.976
15238,217,0.816
15238,2305,0.8360000000000001
15238,7837,0.804
15238,18403,0.8440000000000001
15238,33676,0.8760000000000001
15285,217,0.8320000000000001
15285,963,0.8440000000000001
15285,2305,0.82
15285,4242,0.8360000000000001
15285,7837,0.852
15285,9005,0.8079999999999999
15285,10440,0.8160000000000001
15285,12617,0.8160000000000001
15285,14209,0.9
15285,14611,0.8320000000000001
15285,17770,0.8320000000000001
15285,19362,0.8440000000000001
15285,29522,0.8640000000000001
15285,33676,0.872
15285,42625,0.8360000000000001
15285,44362,0.8160000000000001
15285,56016,0.9
15285,56891,0.8320000000000001
15285,65422,0.8320000000000001
15285,76577,0.852
15285,78018,0.884
15285,78703,0.8160000000000001
15285,87255,0.8360000000000001
15316,217,0.804
15316,2305,0.82
15316,7837,0.8360000000000001
15316,42625,0.8280000000000001
15316,55502,1.0
15316,56016,0.8080000000000002
15316,87255,0.804
15463,42986,1.0
15594,1976,0.86
15594,3985,0.8880000000000001
15594,39555,0.8440000000000001
15594,61733,0.868
15594,92317,0.9680000000000001
15594,94195,0.805
15754,30492,1.0
15821,4208,0.804
15821,80672,0.828
15821,84436,0.856
16230,74754,0.976
16231,74754,1.0
16237,26622,1.0
16242,48240,0.836
16242,82991,0.8480000000000001
16678,68489,0.8160000000000001
16678,73437,0.804
16707,4208,0.804
16707,80672,0.828
16707,84436,0.856
16843,59267,0.8079999999999999
17102,7837,0.852
17102,14209,0.812
17102,14611,0.8240000000000001
17102,33676,0.8560000000000001
17102,42625,0.812
17102,56016,0.82
17102,78018,0.8080000000000002
17152,90055,0.8959999999999999
17238,22708,0.8640000000000001
17238,47157,1.0
17477,217,0.8320000000000001
17477,963,0.8440000000000001
17477,2305,0.82
17477,4242,0.8360000000000001
17477,7837,0.852
17477,9005,0.8079999999999999
17477,10440,0.8160000000000001
17477,12617,0.8160000000000001
17477,14209,0.9
17477,14611,0.8320000000000001
17477,17770,0.8320000000000001
17477,19362,0.8440000000000001
17477,29522,0.8640000000000001
17477,33676,0.872
17477,42625,0.8360000000000001
17477,44362,0.8160000000000001
17477,56016,0.9
17477,56891,0.8320000000000001
17477,65422,0.8320000000000001
17477,76577,0.852
17477,78018,0.884
17477,78703,0.8160000000000001
17477,87255,0.8360000000000001
17697,85422,1.0
17708,85422,1.0
17736,11425,0.9640000000000001
17761,159,1.0
17761,15672,0.812
17761,39555,0.8160000000000001
17761,44555,0.8160000000000001
17761,50713,0.8079999999999999
17789,18403,0.8320000000000001
17797,52954,0.816
17852,4370,0.8160000000000001
17852,20686,0.8360000000000001
17852,27714,0.8480000000000001
17852,54649,0.884
17852,79465,0.804
17928,18403,0.8160000000000001
17928,68889,0.8160000000000001
18044,48240,0.836
18044,82991,0.8480000000000001
18065,8015,1.0
18110,59665,0.8360000000000001
18123,159,1.0
18123,3985,0.8080000000000002
18123,15672,0.8240000000000001
18123,39555,0.8160000000000001
18123,44555,0.812
18246,33550,0.812
18246,48240,0.836
18246,56168,1.0
18290,40263,1.0
18443,8015,1.0
18479,7837,0.852
18479,14209,0.812
18479,14611,0.8240000000000001
18479,33676,0.8560000000000001
18479,42625,0.812
18479,56016,0.82
18479,78018,0.8080000000000002
18669,24948,0.9840000000000001
18900,64074,1.0
18923,18403,0.8080000000000002
18923,68889,0.82
18971,81293,0.96
19099,65873,0.856
19100,59665,0.8360000000000001
19343,40355,1.0
19598,64503,0.8240000000000001
19598,71755,0.8640000000000001
19598,80672,0.8240000000000001
19598,84436,0.852
19916,11425,0.9640000000000001
19916,64345,0.804
19916,92041,0.804
19930,20686,0.804
19930,27714,0.8280000000000001
19930,54649,0.872
20269,29248,0.884
20269,40460,0.8130000000000002
20269,87212,1.0
20319,82834,0.96
20412,34176,0.8079999999999999
20573,87769,0.8959999999999999
20699,33550,0.812
20699,48240,0.836
20699,56168,1.0
20770,217,0.804
20770,2305,0.82
20770,7837,0.8360000000000001
20770,42625,0.812
20770,87255,1.0
20849,217,0.816
20849,2305,0.8360000000000001
20849,10452,0.872
20849,17770,0.804
20849,33676,0.812
20849,44362,0.856
20849,78018,0.8280000000000001
20897,22516,0.8079999999999999
20897,56314,0.84
20897,67971,0.904
21226,20052,0.8240000000000001
21231,12421,1.0
21231,18212,0.84
21231,47548,0.84
21231,48967,0.8320000000000001
21231,57508,0.856
21231,70755,0.8360000000000001
21374,159,0.804
21374,3985,0.8360000000000001
21374,8186,0.804
21374,39555,0.852
21374,44555,0.8080000000000002
21374,92317,0.8080000000000002
21474,217,0.816
21474,2305,0.8360000000000001
21474,10452,0.884
21474,17770,0.804
21474,29522,0.8079999999999999
21474,33676,0.812
21474,44362,0.856
21474,78018,0.8280000000000001
22001,63034,1.0
22001,91010,0.8280000000000001
22050,40263,1.0
22051,31957,0.8160000000000001
22099,11037,0.925
22099,63034,0.82
22099,91010,0.812
22280,217,0.8240000000000001
22280,2305,0.8360000000000001
22280,7837,0.8320000000000001
22280,9005,0.82
22280,10440,0.816
22280,14209,0.812
22280,17770,0.8280000000000001
22280,29522,0.8280000000000001
22280,33676,0.8760000000000001
22280,44362,0.8240000000000001
22280,56016,0.8440000000000001
22280,56891,0.8080000000000002
22280,78018,0.84
22280,78703,0.812
22280,86748,0.8959999999999999
22374,22738,0.88
22476,422,0.812
22476,33212,0.812
22476,34404,1.0
22482,217,0.8240000000000001
22482,2305,0.8360000000000001
22482,7837,0.8320000000000001
22482,17770,0.804
22482,29522,0.8240000000000001
22482,33676,0.8760000000000001
22482,56016,0.8360000000000001
22482,56891,0.8240000000000001
22482,78018,0.82
22482,86748,0.8959999999999999
22494,16342,0.917
22494,64293,0.972
22506,16342,0.917
22506,64293,0.972
22654,53785,1.0
22706,54764,0.84
22755,78443,0.9280000000000002
22852,70420,1.0
22946,217,0.82
22946,2305,0.82
22946,7837,0.8360000000000001
22946,14209,0.812
22946,33676,0.86
22946,42625,0.812
22946,43568,1.0
22946,56016,0.8280000000000001
22946,78018,0.8560000000000001
22970,30926,0.904
23192,8186,0.8079999999999999
23192,39555,0.8440000000000001
23192,61733,1.0
23192,92317,0.836
23192,94195,0.801
23204,20686,0.804
23204,27714,0.856
23205,20686,0.804
23205,27714,0.856
23373,51062,0.816
23392,56259,0.82
23600,8186,0.8079999999999999
23600,39555,0.8440000000000001
23600,61733,1.0
23600,92317,0.836
23600,94195,0.801
23752,87769,0.8959999999999999
23819,29132,0.828
23829,31300,0.812
23937,27282,0.8640000000000001
23938,27282,0.86
23969,25375,1.0
24021,12421,0.8760000000000001
24021,18212,0.8760000000000001
24021,47548,0.8320000000000001
24021,48967,0.8320000000000001
24021,57508,0.8320000000000001
24021,70755,0.8760000000000001
24071,12421,0.8760000000000001
24071,18212,0.892
24071,47548,0.8640000000000001
24071,48967,0.8640000000000001
24071,57508,0.852
24071,70755,0.88
24462,54441,0.8160000000000001
24614,16639,1.0
24749,27714,0.816
24749,54649,0.8080000000000002
24749,79920,0.836
24757,18403,0.8320000000000001
24782,4208,0.8880000000000001
24782,8410,0.8240000000000001
24782,39337,0.88
24782,43139,0.8160000000000001
24782,50283,0.8880000000000001
24782,63510,0.84
24782,68163,0.848
24782,75500,0.904
24782,80672,0.8240000000000001
24782,83777,0.8880000000000001
24782,84436,0.852
24782,84758,0.812
24790,12421,0.872
24790,18212,0.812
24790,48967,0.816
24790,57508,0.856
24790,70755,0.8320000000000001
24879,217,0.816
24879,76430,0.8079999999999999
25602,76526,1.0
25616,82632,1.0
25806,82632,1.0
26085,47055,1.0
26086,47055,1.0
26169,4208,0.8240000000000001
26169,8410,0.8240000000000001
26169,14677,0.812
26169,50283,0.804
26169,63510,0.8240000000000001
26169,80672,0.8240000000000001
26169,83777,0.804
26169,84436,1.0
26359,4208,0.8240000000000001
26359,8410,0.8240000000000001
26359,14677,0.812
26359,50283,0.804
26359,63510,0.8240000000000001
26359,80672,0.8240000000000001
26359,83777,0.804
26359,84436,1.0
26547,4370,0.8240000000000001
26547,27714,0.856
26547,54649,0.812
26594,217,0.804
26594,2305,0.82
26594,7837,0.8440000000000001
26594,42625,0.812
26632,57103,0.852
26665,4370,0.8440000000000001
26665,14571,0.8160000000000001
26752,68848,1.0
26940,8186,0.872
26940,39555,0.8160000000000001
27084,85048,0.8560000000000001
27123,44247,0.96
27123,75007,0.812
27196,18603,1.0
27399,24185,0.82
27399,87527,1.0
27763,66518,0.9880000000000001
27766,78947,0.804
27915,11497,0.852
27973,72495,1.0
28060,18403,0.812
28060,68889,0.8440000000000001
28238,26622,1.0
28269,4370,0.8440000000000001
28269,14571,0.8160000000000001
214,14304,0.9640000000000001
471,38125,0.868
472,38125,0.868
481,13146,0.8240000000000001
494,4270,1.0
867,31205,0.804
953,7203,0.8079999999999999
1423,51023,1.0
1566,18979,0.8320000000000001
1566,67356,0.816
1779,2583,1.0
1898,92090,1.0
2223,44492,1.0
2317,92090,0.976
2437,41392,0.9640000000000001
2596,5253,1.0
2596,7203,0.872
2705,57166,0.804
2736,92048,0.94
2768,1909,0.828
2768,30304,0.8160000000000001
2768,38805,0.812
2769,1909,0.828
2769,30304,0.8160000000000001
2769,38805,0.812
3011,34634,1.0
3661,42995,1.0
3717,5253,0.9840000000000001
3717,7203,0.872
3824,54449,1.0
3825,54449,1.0
3911,7203,0.872
3912,7203,0.872
3957,34713,0.972
3974,88999,0.836
4565,4510,0.9680000000000001
4810,4270,1.0
5064,57166,0.8440000000000001
5065,57166,0.8440000000000001
5407,2691,0.8320000000000001
5407,12793,0.816
5514,15399,0.812
5514,46171,1.0
5604,46171,1.0
5604,81909,0.804
6038,30304,0.8160000000000001
6175,2691,0.8320000000000001
6175,12793,0.816
6609,22265,0.812
6609,81909,0.812
6609,89650,1.0
6735,44730,0.816
7358,6984,0.848
7358,25217,1.0
7611,88310,0.932
7658,36539,1.0
7757,54532,0.884
7800,22316,0.8320000000000001
7800,86066,0.9480000000000001
7801,22316,0.8320000000000001
7801,86066,0.9480000000000001
7813,38123,0.9080000000000001
7982,4339,0.804
7982,15399,0.8360000000000001
8128,43478,1.0
8133,43478,1.0
8421,54184,1.0
9346,50642,1.0
9640,44534,0.848
9640,87399,0.9520000000000001
9936,19923,1.0
9936,23123,0.8440000000000001
10073,22265,0.812
10073,81909,0.804
10073,89650,0.992
10293,22316,0.812
10293,85218,0.98
10301,22265,0.82
10301,81909,0.812
10305,22265,0.82
10305,81909,0.812
10444,22316,0.812
10444,85218,1.0
10456,36251,0.924
10564,91864,0.8360000000000001
10592,60228,0.9520000000000001
10637,30304,0.804
10637,71555,0.828
10870,57487,1.0
10871,57487,1.0
10954,54908,0.8080000000000002
10955,54908,0.8080000000000002
11168,69032,1.0
11725,69032,1.0
12154,53213,1.0
12165,53213,1.0
12449,43841,1.0
12990,31413,1.0
12990,67686,0.804
12990,86492,0.8240000000000001
13793,34373,0.828
13793,83659,0.912
13930,78085,1.0
13931,78085,1.0
