left,right,confidence_score
43244,60048,1.0
43247,60048,0.9880000000000001
43732,56263,1.0
43733,9635,1.0
43753,83060,0.835
43923,71306,0.972
43953,58308,0.8290000000000001
43974,58150,0.899
44190,46480,0.96
44345,67935,0.9880000000000001
44346,50684,0.96
44506,86562,0.9109999999999999
44735,77402,0.972
44943,92145,1.0
45175,68683,0.936
45219,17562,0.828
45219,46578,0.8079999999999999
45219,67935,0.82
45328,9388,0.9079999999999999
45328,19832,0.9080000000000001
45329,9388,0.9079999999999999
45329,19832,0.9080000000000001
45433,92805,0.82
45494,92145,1.0
45886,67935,0.92
45943,92233,0.899
45993,68683,0.9480000000000001
47240,2791,1.0
47264,72646,1.0
47314,92805,0.82
47495,62206,1.0
47668,53898,1.0
47671,54285,1.0
48263,54285,1.0
48696,68676,0.9480000000000001
49287,87236,0.848
49440,75560,0.9840000000000001
49441,75560,0.9079999999999999
49570,89838,0.9209999999999999
50368,30019,1.0
51089,31218,0.812
51137,74034,0.883
51147,82912,0.92
51282,68676,0.9480000000000001
51291,18684,0.9359999999999999
51341,48715,0.9109999999999999
52086,53898,0.804
52087,53898,0.804
52435,48715,0.871
52889,70900,1.0
53298,61646,0.884
53615,70900,1.0
54265,35526,1.0
39267,25201,0.8680000000000001
39340,14098,0.9329999999999999
39621,9845,0.8009999999999999
39621,72197,0.829
40198,36318,0.9329999999999999
40198,39916,0.8410000000000001
40234,35194,0.825
40520,17168,0.9329999999999999
40662,25201,0.892
40761,28835,1.0
40943,37079,0.9440000000000001
40953,37079,0.9440000000000001
40964,3714,0.8160000000000001
40966,3068,0.856
40966,24674,0.852
40966,87103,0.8160000000000001
41325,3068,0.856
41325,24674,0.852
41325,87103,0.8160000000000001
41568,52013,0.9329999999999999
42026,35194,0.825
42259,81973,1.0
42283,35630,0.9640000000000001
42627,36198,1.0
42957,3068,0.856
42957,87103,0.96
42958,3068,0.856
42958,87103,0.96
43422,34234,0.8810000000000001
43549,45566,0.9280000000000002
43712,86370,0.921
43728,45566,0.9280000000000002
43811,92355,1.0
43839,41240,0.92
44173,68898,0.9329999999999999
44596,21484,0.812
44875,47328,0.9440000000000001
44904,26945,0.84
44904,40118,1.0
45696,58086,0.8160000000000001
45873,70408,0.972
47157,65876,0.804
47190,53349,1.0
47355,41240,0.92
47590,1863,0.9680000000000001
47650,53349,1.0
48443,48201,0.893
48475,39302,0.857
48685,1863,0.9560000000000001
48716,39302,0.857
48896,39302,0.857
48901,73249,0.9329999999999999
48993,37207,1.0
49461,22440,0.96
49568,67288,0.9329999999999999
49934,86977,0.8810000000000001
49936,86977,0.8170000000000001
51252,22440,0.96
52825,2535,0.804
53246,77209,0.9329999999999999
53273,77209,0.9329999999999999
53483,67742,0.812
53554,4809,1.0
53724,67742,0.812
39199,15876,0.847
39447,89051,1.0
39634,33220,1.0
39702,31665,1.0
39747,6849,0.8240000000000001
39749,6849,0.8240000000000001
39838,31665,1.0
40245,36741,1.0
41052,45447,1.0
41053,45447,1.0
41219,87162,0.91
41230,80742,0.84
41495,7998,0.82
41703,94411,1.0
41708,59350,1.0
42122,10339,0.84
42145,36651,1.0
42210,14584,0.91
42210,65170,0.872
42210,70438,0.8959999999999999
42241,84720,1.0
42323,3381,1.0
42363,84720,1.0
42371,29574,0.9680000000000001
42385,21409,1.0
42758,21409,1.0
42816,87162,0.91
43012,51306,0.9280000000000002
43017,51306,0.9280000000000002
43312,25082,0.924
43347,25082,0.88
43513,10781,1.0
44072,55956,0.904
44094,21141,0.848
44094,28199,0.812
44149,58188,1.0
44237,55596,0.8760000000000001
44237,93036,0.8079999999999999
44306,88034,1.0
